uk,Bitapukpuk,10,,-4.4,152.1666667
pg,bunama villages,Bunama Villages,03,,-10.15,151.15
pg,bunam,Bunam,11,,-4.65,144.25
pg,bunamo village,Bunamo Village,03,,-10.15,151.15
pg,bunapae,Bunapae,12,,-4.2,144.6833333
pg,bunaputa,Bunaputa,12,,-4.35,145.05
pg,bun,Bun,11,,-4.5,143.9166667
pg,bun,Bun,14,,-5.3,147.55
pg,bundi,Bundi,12,,-5.7333333,145.2333333
pg,bundikara,Bundikara,12,,-5.75,145.1666667
pg,bundo,Bundo,08,,-5.8833333,144.85
pg,bundrahei,Bundrahei,13,,-2.1833333,146.7
pg,bungain,Bungain,11,,-3.6666667,143.8
pg,bungalamba,Bungalamba,14,,-6.4333333,147.05
pg,bungalumba,Bungalumba,14,,-6.4333333,147.05
pg,bungaripma,Bungaripma,11,,-3.7166667,143.6833333
pg,bungbune,Bungbune,15,,-3.3333333,151.9166667
pg,bungbuwe,Bungbuwe,15,,-3.3333333,151.9166667
pg,bunigi,Bunigi,06,,-7.9833333,143.65
pg,buni-i,Buni-I,03,,-10.25,149.8166667
pg,buniki,Buniki,06,,-7.9833333,143.65
pg,bunima,Bunima,05,,-5.8333333,142.8666667
pg,bunoguna,Bunoguna,12,,-5.7,145.55
pg,bunoni,Bunoni,12,,-5.7666667,145.1833333
pg,bunu 1,Bunu 1,12,,-4.8666667,145.8
pg,bunu 2,Bunu 2,12,,-4.8833333,145.8
pg,bunu,Bunu,12,,-4.8666667,145.8
pg,bunungom,Bunungom,12,,-4.7666667,144.5666667
pg,buobuo,Buobuo,03,,-9.2666667,150.2833333
pg,bupon,Bupon,17,,-6.1,149.4666667
pg,bupu,Bupu,14,,-6.85,146.6
pg,bura,Bura,15,,-2.95,151.4666667
pg,burau,Burau,15,,-2.95,151.4666667
pg,burbura,Burbura,12,,-4.9166667,145.6833333
pg,burema,Burema,06,,-6.5166667,141.4833333
pg,buremai,Buremai,11,,-4.3666667,141.65
pg,burevi,Burevi,01,,-9.9833333,149.2833333
pg,buri,Buri,01,,-8.5666667,147.5666667
pg,buri,Buri,02,,-7.4,144.6
pg,buri,Buri,04,,-8.5833333,148.3833333
pg,buri,Buri,08,,-6.1666667,144.9
pg,burnamo village,Burnamo Village,03,,-10.15,151.15
pg,buroa,Buroa,12,,-5.35,145.6333333
pg,buro,Buro,08,,-6.1666667,144.9
pg,burowei,Burowei,10,,-5.9833333,150.7666667
pg,burtemvip,Burtemvip,06,,-5.1833333,141.2666667
pg,buru,Buru,01,,-10.1166667,148.1333333
pg,buru,Buru,12,,-5.3166667,145.5833333
pg,buruburu mission,Buruburu Mission,06,,-7.8833333,143.25
pg,burui villages,Burui Villages,11,,-3.9833333,143.0333333
pg,burumai,Burumai,11,,-4.3666667,141.65
pg,burume,Burume,08,,-6.3333333,145.0833333
pg,burunkum,Burunkum,15,,-4.2166667,153.0666667
pg,buru'um,Buru'um,18,,-3.4666667,142.0
pg,busa,Busa,18,,-3.8333333,141.4333333
pg,busaka,Busaka,12,,-5.6666667,146.4333333
pg,busalamaga,Busalamaga,01,,-9.6666667,147.7166667
pg,busama,Busama,14,,-7.05,147.0166667
pg,busega,Busega,04,,-8.8666667,148.4833333
pg,busega,Busega,14,,-6.7,147.7666667
