,Kirkovo,61,,43.1833333,26.8166667
bg,kolibi dunevtsu,Kolibi Dunevtsu,46,,42.8166667,24.9
bg,kolibi dyelok,Kolibi Dyelok,46,,42.9166667,24.9666667
bg,kolibi dzhan,Kolibi Dzhan,51,,42.0333333,23.8666667
bg,kolibi fortun,Kolibi Fortun,58,,42.5833333,23.9833333
bg,kolibi gabrovnitsa,Kolibi Gabrovnitsa,46,,42.8,24.9
bg,kolibi ganevtsu,Kolibi Ganevtsu,46,,42.7833333,25.4
bg,kolibi golyama osoya,Kolibi Golyama Osoya,46,,42.9333333,24.15
bg,kolibi grublevtsi,Kolibi Grublevtsi,46,,42.9333333,25.3166667
bg,kolibi grudtsite,Kolibi Grudtsite,46,,42.8166667,25.3
bg,kolibi gumoshtnik,Kolibi Gumoshtnik,46,,42.9333333,24.8333333
bg,kolibi ivanilovtsi,Kolibi Ivanilovtsi,46,,42.95,25.3166667
bg,kolibi kamen dol,Kolibi Kamen Dol,46,,42.9333333,24.1666667
bg,kolibi karaivanska,Kolibi Karaivanska,46,,42.8,25.8
bg,kolibi kaurchan,Kolibi Kaurchan,51,,41.5,24.4333333
bg,kolibi kayrak,Kolibi Kayrak,58,,42.55,23.9833333
bg,kolibi khodzhovite,Kolibi Khodzhovite,46,,42.8666667,25.3166667
bg,kolibi kiselutsata,Kolibi Kiselutsata,46,,42.7833333,25.4
bg,kolibi knyazhevetskiya,Kolibi Knyazhevetskiya,46,,42.85,24.6666667
bg,kolibi koevtsu,Kolibi Koevtsu,46,,42.8666667,24.8166667
bg,kolibi konevets,Kolibi Konevets,58,,42.5833333,24.0333333
bg,kolibi kostovtsu,Kolibi Kostovtsu,46,,42.8333333,25.5333333
bg,kolibi krushin dol,Kolibi Krushin Dol,46,,42.9166667,24.1833333
bg,kolibi lakariya,Kolibi Lakariya,46,,42.9333333,24.8666667
bg,kolibi levadeki-rut,Kolibi Levadeki-Rut,58,,42.5333333,23.9666667
bg,kolibi levashki,Kolibi Levashki,46,,42.8666667,24.8
bg,kolibi lipovaya,Kolibi Lipovaya,46,,42.8833333,24.8333333
bg,kolibi mal'novo,Kolibi Mal'novo,46,,42.9,24.9
bg,kolibi malusha,Kolibi Malusha,46,,42.8166667,25.3
bg,kolibi marushnitsa,Kolibi Marushnitsa,46,,42.8,24.9333333
bg,kolibi merzovski,Kolibi Merzovski,39,,42.1666667,27.7
bg,kolibi milevets,Kolibi Milevets,46,,42.9833333,24.1333333
bg,kolibi mishkovtsu,Kolibi Mishkovtsu,58,,42.95,24.05
bg,kolibi murzovski,Kolibi Murzovski,39,,42.1666667,27.7
bg,kolibi myadna,Kolibi Myadna,46,,42.8,24.9666667
bg,kolibi oselcha,Kolibi Oselcha,58,,42.9166667,24.15
bg,kolibi ostrets,Kolibi Ostrets,46,,42.8,24.9666667
bg,kolibi pantseva khret,Kolibi Pantseva Khret,58,,42.4333333,24.0333333
bg,kolibi pashovu,Kolibi Pashovu,51,,42.0333333,23.85
bg,kolibi pavlovo,Kolibi Pavlovo,46,,42.8833333,24.8666667
bg,kolibi pazdertu,Kolibi Pazdertu,46,,42.85,24.9666667
bg,kolibi pchelinurut,Kolibi Pchelinurut,43,,42.7333333,25.75
bg,kolibi popishka,Kolibi Popishka,46,,42.8666667,24.75
bg,kolibi prespa,Kolibi Prespa,58,,42.5833333,24.0
bg,kolibi ravna,Kolibi Ravna,58,,42.8333333,23.9333333
bg,kolibi rovnishtu,Kolibi Rovnishtu,58,,43.0,24.0666667
bg,kolibi sedyankovtsi,Kolibi Sedyankovtsi,46,,42.9166667,25.3166667
bg,kolibi serbinova,Kolibi Serbinova,51,,42.5333333,24.0166667
bg,kolibi sharanite,Kolibi Sharanite,46,,42.9166667,25.3166667
bg,kolibi shendrovu,Kolibi Shendrovu,51,,42.0166667,23.8833333
bg,kolibi shoshleka,Kolibi Shoshleka,46,,42.9333333,25.3166667
bg,kolibi shuglyava,Kolibi Shuglyava,58,,42.4833333,23.9
bg,kolibi solarite,Kolibi Solarite,46,,42.9333333,25.3166667
bg,kolibi steevtsu,Kolibi Steevtsu,46,,42.8333333,25.5333333
bg,kolibi stefanovo,Kolibi Stefanovo,46,,42.8666667,25.3166667
bg,kolibi sveta petka,Kolibi Sveta Petka,51,,42.0333333,23.8666667
bg,kolibi svinarski dol,Kolibi Svinarski Dol,46,,42.9333333,25.3
bg,kolibi tabachka,Kolibi Tabachka,46,,42.8333333,25.0166667
bg,kolibite,Kolibite,58,,41.5833333,23.0333333
bg,kolibito,Kolibito,46,,42.8333333,24.75
bg,kolibi trapet,Kolibi Trapet,46,,42.8666667,24.6666667
bg,kolibi trusiite,Kolibi Trusiite,46,,42.8833333,25.3333333
bg,kolibi tscherni ossam,Kolibi Tscherni Ossam,46,,42.8333333,24.75
bg,kolibi tsenova,Kolibi Tsenova,58,,42.4833333,23.9333333
bg,kolibi usukovetskiya,Kolibi Usukovetskiya,58,,42.9166667,24.0
bg,kolibi valetu,Kolibi Valetu,46,,42.8666667,25.9833333
bg,kolibi voynitsu,Kolibi Voynitsu,46,,42.85,25.0166667
bg,kolibi yamna,Kolibi Yamna,58,,42.8333333,24.1
bg,kolich,Kolich,63,,43.6333333,22.7666667
bg,kolicica,Kolicica,58,,43.0944444,22.9919444
bg,kolio gantchevo,Kolio Gantchevo,43,,42.4,25.6333333
bg,kolio gantschowo,Kolio Gantschowo,43,,42.4,25.6333333
bg,kolischewo,Kolischewo,43,,41.6666667,25.9333333
bg,kolischowzi,Kolischowzi,46,,42.95,25.4
