cn,yangmeiqi,Yangmeiqi,30,,25.471944,113.293889
cn,yangmeishan,Yangmeishan,02,,30.059298,119.865622
cn,yangmeishan,Yangmeishan,03,,27.793945,115.721488
cn,yangmeishan,Yangmeishan,07,,27.908852,118.740204
cn,yangmeishan,Yangmeishan,11,,25.47,113.121389
cn,yangmeishan,Yangmeishan,29,,24.943661,102.443051
cn,yangmeishan,Yangmeishan,30,,23.377497,114.445387
cn,yangmeishui,Yangmeishui,30,,23.243037,115.331344
cn,yangmeishuxia,Yangmeishuxia,30,,24.111273,115.881592
cn,yangmeishu,Yangmeishu,18,,26.316667,104.816667
cn,yangmeishu,Yangmeishu,30,,24.117222,113.112778
cn,yangmeisi,Yangmeisi,03,,25.683333,114.5
cn,yangmeissu,Yangmeissu,03,,25.683333,114.5
cn,yangmeitang,Yangmeitang,03,,25.023464,115.350584
cn,yangmeitang,Yangmeitang,07,,27.009516,116.986002
cn,yangmeitang,Yangmeitang,11,,26.011111,111.354722
cn,yangmeitang,Yangmeitang,30,,24.052852,113.632457
cn,yangmeitan,Yangmeitan,03,,29.125647,117.418595
